*******************************************************************************,
"2324419.500000000, A.D. 1651-Dec-11 00:00:00.0000, -4.995659885753324E+09, -3.909435336042685E+10, -1.487793578559718E+10,  3.084448256309708E-01,  2.302492788514947E+00,  9.411551581073323E-01,  1.405203059363791E+05,  4.212692791557909E+10, -2.505708423470835E+00,",
"2324785.500000000, A.D. 1652-Dec-11 00:00:00.0000, -4.985901674751681E+09, -3.902150822382961E+10, -1.484816096194608E+10,  3.087261506861811E-01,  2.304694430464886E+00,  9.419929711734385E-01,  1.402558764831151E+05,  4.204765395981746E+10, -2.508077959957807E+00,",
"2325150.500000000, A.D. 1653-Dec-11 00:00:00.0000, -4.976161249410312E+09, -3.894879265027187E+10, -1.481844105697416E+10,  3.090077454263830E-01,  2.306898382804512E+00,  9.428315473097464E-01,  1.399919201284727E+05,  4.196852183545451E+10, -2.510449933624236E+00,",
"2325515.500000000, A.D. 1654-Dec-11 00:00:00.0000, -4.966411927264817E+09, -3.887600744104932E+10, -1.478869465834532E+10,  3.092903835304160E-01,  2.309110704825908E+00,  9.436731912973663E-01,  1.397277137887134E+05,  4.188931476743887E+10, -2.512830865353664E+00,",
"2325880.500000000, A.D. 1655-Dec-11 00:00:00.0000, -4.956653675297091E+09, -3.880315233130424E+10, -1.475892166898586E+10,  3.095740721842602E-01,  2.311331454600262E+00,  9.445179238182776E-01,  1.394632565182698E+05,  4.181003247229662E+10, -2.515220817059279E+00,",
"2326246.500000000, A.D. 1656-Dec-11 00:00:00.0000, -4.946859688431063E+09, -3.873002716243738E+10, -1.472904031146917E+10,  3.098596000134902E-01,  2.313566808967546E+00,  9.453680925451751E-01,  1.391978217876349E+05,  4.173045714196101E+10, -2.517626435403680E+00,",
"2326611.500000000, A.D. 1657-Dec-11 00:00:00.0000, -4.937083452173194E+09, -3.865703125644156E+10, -1.469921377330727E+10,  3.101454144333209E-01,  2.315804608864735E+00,  9.462190720991691E-01,  1.389328590991687E+05,  4.165102332630746E+10, -2.520034634849704E+00,",
"2326976.500000000, A.D. 1658-Dec-11 00:00:00.0000, -4.927298185578379E+09, -3.858396464376610E+10, -1.466936034904926E+10,  3.104323012094520E-01,  2.318051006643512E+00,  9.470732008967898E-01,  1.386676426020894E+05,  4.157151342074588E+10, -2.522452035768945E+00,",
"2327341.500000000, A.D. 1659-Dec-11 00:00:00.0000, -4.917503854734784E+09, -3.851082705237382E+10, -1.463947993906118E+10,  3.107202664988533E-01,  2.320306059150479E+00,  9.479304993132806E-01,  1.384021713252936E+05,  4.149192713414687E+10, -2.524878698701748E+00,",
"2327707.500000000, A.D. 1660-Dec-11 00:00:00.0000, -4.907673554277368E+09, -3.843741753809936E+10, -1.460949046741357E+10,  3.110101108939455E-01,  2.322576039898236E+00,  9.487933502581005E-01,  1.381357159197004E+05,  4.141204581315671E+10, -2.527321373695350E+00,",
"2328072.500000000, A.D. 1661-Dec-11 00:00:00.0000, -4.897860967265209E+09, -3.836413696943453E+10, -1.457955570980776E+10,  3.113002579730043E-01,  2.324848605255920E+00,  9.496570605206500E-01,  1.378697314391774E+05,  4.133230567195086E+10, -2.529766777513537E+00,",
"2328437.500000000, A.D. 1662-Dec-11 00:00:00.0000, -4.888039212829225E+09, -3.829078459398326E+10, -1.454959366329403E+10,  3.115915062212399E-01,  2.327130006559812E+00,  9.505240049954503E-01,  1.376034892230998E+05,  4.125248826356960E+10, -2.532221636586975E+00,",
"2328802.500000000, A.D. 1663-Dec-11 00:00:00.0000, -4.878208256137163E+09, -3.821736013216399E+10, -1.451960422554594E+10,  3.118838626185979E-01,  2.329420302141288E+00,  9.513942046847033E-01,  1.373369882735351E+05,  4.117259328884027E+10, -2.534686013146425E+00,",
"2329168.500000000, A.D. 1664-Dec-11 00:00:00.0000, -4.868341089940794E+09, -3.814366184173962E+10, -1.448950501754876E+10,  3.121781420539610E-01,  2.331725861776129E+00,  9.522700778795962E-01,  1.370694963771707E+05,  4.109240123573409E+10, -2.537166760564113E+00,",
"2329533.500000000, A.D. 1665-Dec-11 00:00:00.0000, -4.858491597746180E+09, -3.807009216166644E+10, -1.445946041197620E+10,  3.124727430079023E-01,  2.334034148546242E+00,  9.531468592596645E-01,  1.368024742249027E+05,  4.101235000836522E+10, -2.539650388165529E+00,",
"2329898.500000000, A.D. 1666-Dec-11 00:00:00.0000, -4.848632797209524E+09, -3.799644954450740E+10, -1.442938810395124E+10,  3.127684743785900E-01,  2.336351512237695E+00,  9.540269597324279E-01,  1.365351903027634E+05,  4.093222030436318E+10, -2.542143727500128E+00,",
"2330263.500000000, A.D. 1667-Dec-11 00:00:00.0000, -4.838764652583664E+09, -3.792273370299041E+10, -1.439928798843929E+10,  3.130653423023197E-01,  2.338678017359090E+00,  9.549104023879317E-01,  1.362676435855247E+05,  4.085201181637239E+10, -2.544646847162277E+00,",
"2330629.500000000, A.D. 1668-Dec-11 00:00:00.0000, -4.828860053274114E+09, -3.784874208398952E+10, -1.436907737869058E+10,  3.133641733968606E-01,  2.341020137706603E+00,  9.557996446545922E-01,  1.359990989499959E+05,  4.077150416000449E+10, -2.547166712062791E+00,",
"2330994.500000000, A.D. 1669-Dec-11 00:00:00.0000, -4.818973086414702E+09, -3.777487872139265E+10, -1.433892125327820E+10,  3.136633446222515E-01,  2.343365138433781E+00,  9.566898494724601E-01,  1.357310228114531E+05,  4.069113695549961E+10, -2.549689620348121E+00,",
"2331359.500000000, A.D. 1670-Dec-11 00:00:00.0000, -4.809076666581730E+09, -3.770094125989778E+10, -1.430873700066397E+10,  3.139636783595487E-01,  2.345719469729018E+00,  9.575834638380553E-01,  1.354626807567620E+05,  4.061069003133897E+10, -2.552222510882354E+00,",
"2331724.500000000, A.D. 1671-Dec-11 00:00:00.0000, -4.799170757008236E+09, -3.762692940422071E+10, -1.427852451296462E+10,  3.142651808764807E-01,  2.348083197489977E+00,  9.584805107589170E-01,  1.351940717321994E+05,  4.053016307162437E+10, -2.554765453528700E+00,",
"2332090.500000000, A.D. 1672-Dec-11 00:00:00.0000, -4.789228142037198E+09, -3.755263977727902E+10, -1.424820079092541E+10,  3.145686897950419E-01,  2.350462903033091E+00,  9.593834863766805E-01,  1.349244576580353E+05,  4.044933480561933E+10, -2.557325527742718E+00,",
"2332455.500000000, A.D. 1673-Dec-11 00:00:00.0000, -4.779303115612146E+09, -3.747847803314131E+10, -1.421793142829125E+10,  3.148725549206970E-01,  2.352845650674643E+00,  9.602874811455675E-01,  1.346553107641000E+05,  4.036864659672340E+10, -2.559888816874452E+00,",
"2332820.500000000, A.D. 1674-Dec-11 00:00:00.0000, -4.769368487711212E+09, -3.740424099550774E+10, -1.418763350206208E+10,  3.151776133081951E-01,  2.355237996253464E+00,  9.611949816585738E-01,  1.343858936912708E+05,  4.028787739023277E+10, -2.562462373344264E+00,",
"2333185.500000000, A.D. 1675-Dec-11 00:00:00.0000, -4.759424220528939E+09, -3.732992836063438E+10, -1.415730690130445E+10,  3.154838755345915E-01,  2.357640007498875E+00,  9.621060117497566E-01,  1.341162053557027E+05,  4.020702686121886E+10, -2.565046269509446E+00,",
"2333551.500000000, A.D. 1676-Dec-11 00:00:00.0000, -4.749442991561395E+09, -3.725533591388911E+10, -1.412686830925375E+10,  3.157921940059450E-01,  2.360058372435455E+00,  9.630231053420105E-01,  1.338455046725380E+05,  4.012587283803064E+10, -2.567647698727852E+00,",
"2333916.500000000, A.D. 1677-Dec-11 00:00:00.0000, -4.739479304607392E+09, -3.718087095554442E+10, -1.409648394433455E+10,  3.161008910395712E-01,  2.362479945461581E+00,  9.639412751771206E-01,  1.335752697789491E+05,  4.004485845504427E+10, -2.570252519256171E+00,",
"2334281.500000000, A.D. 1678-Dec-11 00:00:00.0000, -4.729505863276994E+09, -3.710632947499773E+10, -1.406607056728346E+10,  3.164108139006025E-01,  2.364911390300367E+00,  9.648630469073949E-01,  1.333047603223739E+05,  3.996376176014533E+10, -2.572867898419709E+00,",
